action_name,ucf-101-fasttext.config_o_NAa_100kobj_5ksce_250kobjsce_0xdiscr_0adiscr_1.0lambda_Englishl_accuracy,ucf-101-fasttext.config_s_NAa_100kobj_5ksce_250kobjsce_0xdiscr_0adiscr_1.0lambda_Englishl_accuracy,ucf-101-fasttext.config_os_paireda_100kobj_5ksce_250kobjsce_0xdiscr_0adiscr_1.0lambda_Englishl_accuracy,,improvements from objects,improvements from scene,,,
BreastStroke,0,0,0,,0,0,,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.022900763,-0.023076923,-0.20625,-0.412903226,-0.06122449,0,0,0.0059880239520958,-0.00680272091156463,-0.0924369746554622,0.02,-0.0247933887603306,0.0149253728358208,0.0393700787401574,0.036036036045045,-0.136363636545455,0.0277777781111111,0.0614035084210526,-0.0939597312483222,0.0454545453333333,0.064285714,-0.046875,-0.124999999526316,-0.13740458027481,0.127272727545454,-3.63637009392903E-10,-0.683333333333334,0.094827586103448,-0.12,-0.252032519878049,0.213675213222222,0.213740457587786,0.142857142968253,0.049645389680851,-0.056,-0.089285714428572,-0.014492753289856,0.124999999777777,0.05970149222388,0.040650406837398,0.046666666666666,0.044117647235294,0.324324324432432,0.435114503816793,-0.068322981180125,0.120370370444444,-0.22,-0.034482758862069,0.071942446323741,0.048,-0.0900900904504509,0.59090909090909,0.243902439162601,-4.70589012202538E-10,-0.013793103310345,0.030674847018404,0.266055046055045,0.3,0.056910568975609,-0.036585366024391,0.135714286142857,-0.072289156421687,0.0372670804037261,0.407692308,0.366412214129771,-0.0476190479523809,0.170731707682926,0.022222222629629,-0.022388059477612,0.096774193677419,0.116129032032258,0.139705882705882,0.031847133726114,-0.00862068920689707,0.026666666666666,0.891891891936936,0.14912280722807,0.208633093165467,0.190476190380952,0.620437955708029,0.0583941608540139,0.012903226,0.68,0.069620253,","0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006802721,-0.013888889,-0.123893805,0.0059880239520958,8.84353701380292E-11,0.00840336134453781,-0.11,0.0330578512396694,0.0298507458358208,0.0393700787401574,-0.009009008954955,-0.431818181545455,0.0208333331111111,0.0789473684210526,0.0604026847516778,0.0833333333333333,0.1,0.109375,0.144736842473684,0.15267175572519,-0.027272727454546,0.072727272636363,0.141666666666666,0.172413793103448,0.168,0.219512195121951,0.222222222222222,0.015267175587786,-0.269841270031747,0.276595744680851,0.296,0.294642857571428,0.007246376710144,0.305555555777777,-0.26865671677612,0.349593495837398,0.406666666666666,0.323529412235294,0.432432432432432,0.435114503816793,0.434782608819875,0.444444444444444,0.46,0.462068965137931,0.539568345323741,0.384,0.549549549549549,-0.10000000009091,0.626016260162601,0.285714285529411,0.682758620689655,0.276073620018404,0.743119266055045,0.75,0.756097560975609,0.664634145975609,0.757142857142857,0.728915662578313,0.770186335403726,-0.1,0.816793893129771,0.200000000047619,0.725609755682926,0.125925925629629,0.798507462522388,-0.096774193322581,0.864516129032258,0.720588235705882,0.904458598726114,0.827586206793103,-0.026666666333334,-0.018018018063064,0.93859649122807,0.057553957165467,0.047619047380952,0.036496350708029,0.700729926854014,0.00645161299999997,0,0,"
CleanAndJerk,0,0,0,,0,0,,,
FrisbeeCatch,0,0,0,,0,0,,,
FrontCrawl,0,0,0,,0,0,,,
HammerThrow,0,0,0,,0,0,,,
JumpingJack,0,0,0,,0,0,,,
PlayingDaf,0,0,0,,0,0,,,
PlayingDhol,0,0,0,,0,0,,,
PullUps,0,0,0,,0,0,,,
Punch,0,0,0,,0,0,,,
PushUps,0,0,0,,0,0,,,
SalsaSpin,0,0,0,,0,0,,,
Skijet,0,0,0,,0,0,,,
StillRings,0,0,0,,0,0,,,
ThrowDiscus,0,0,0,,0,0,,,
UnevenBars,0,0,0,,0,0,,,
YoYo,0,0,0,,0,0,,,
BlowDryHair,0.022900763,0,0,,-0.022900763,0,,,
WallPushups,0.023076923,0,0,,-0.023076923,0,,,
BenchPress,0.20625,0,0,,-0.20625,0,,,
BandMarching,0.412903226,0,0,,-0.412903226,0,,,
HeadMassage,0.06122449,0.006802721,0,,-0.06122449,-0.006802721,,,
JumpRope,0,0.013888889,0,,0,-0.013888889,,,
PizzaTossing,0,0.123893805,0,,0,-0.123893805,,,
CricketShot,0,0,0.005988024,,0.005988024,0.005988024,,,
SoccerJuggling,0.013605442,0.006802721,0.006802721,,-0.006802721,8.84354E-11,,,
RopeClimbing,0.100840336,0,0.008403361,,-0.092436975,0.008403361,,,
TaiChi,0,0.13,0.02,,0.02,-0.11,,,
JugglingBalls,0.05785124,0,0.033057851,,-0.024793389,0.033057851,,,
BoxingSpeedBag,0.02238806,0.007462687,0.037313433,,0.014925373,0.029850746,,,
Lunges,0,0,0.039370079,,0.039370079,0.039370079,,,
HandstandWalking,0.009009009,0.054054054,0.045045045,,0.036036036,-0.009009009,,,
BabyCrawling,0.181818182,0.477272727,0.045454545,,-0.136363637,-0.431818182,,,
Shotput,0.020833333,0.027777778,0.048611111,,0.027777778,0.020833333,,,
ApplyLipstick,0.01754386,0,0.078947368,,0.061403508,0.078947368,,,
PoleVault,0.174496644,0.020134228,0.080536913,,-0.093959731,0.060402685,,,
Nunchucks,0.037878788,0,0.083333333,,0.045454545,0.083333333,,,
Hammering,0.035714286,0,0.1,,0.064285714,0.1,,,
HandstandPushups,0.15625,0,0.109375,,-0.046875,0.109375,,,
WritingOnBoard,0.276315789,0.006578947,0.151315789,,-0.125,0.144736842,,,
BrushingTeeth,0.290076336,0,0.152671756,,-0.13740458,0.152671756,,,
CuttingInKitchen,0.027272727,0.181818182,0.154545455,,0.127272728,-0.027272727,,,
MoppingFloor,0.163636364,0.090909091,0.163636364,,-3.63637E-10,0.072727273,,,
SkateBoarding,0.85,0.025,0.166666667,,-0.683333333,0.141666667,,,
VolleyballSpiking,0.077586207,0,0.172413793,,0.094827586,0.172413793,,,
FloorGymnastics,0.296,0.008,0.176,,-0.12,0.168,,,
Knitting,0.471544715,0,0.219512195,,-0.25203252,0.219512195,,,
JavelinThrow,0.008547009,0,0.222222222,,0.213675213,0.222222222,,,
BasketballDunk,0.015267176,0.213740458,0.229007634,,0.213740458,0.015267176,,,
FieldHockeyPenalty,0.111111111,0.523809524,0.253968254,,0.142857143,-0.26984127,,,
Kayaking,0.226950355,0,0.276595745,,0.04964539,0.276595745,,,
HulaHoop,0.352,0,0.296,,-0.056,0.296,,,
BodyWeightSquats,0.392857143,0.008928571,0.303571429,,-0.089285714,0.294642858,,,
CliffDiving,0.333333333,0.311594203,0.31884058,,-0.014492753,0.007246377,,,
RockClimbingIndoor,0.215277778,0.034722222,0.340277778,,0.125,0.305555556,,,
Basketball,0.298507463,0.626865672,0.358208955,,0.059701492,-0.268656717,,,
WalkingWithDog,0.333333333,0.024390244,0.37398374,,0.040650407,0.349593496,,,
Diving,0.36,0,0.406666667,,0.046666667,0.406666667,,,
Mixing,0.382352941,0.102941176,0.426470588,,0.044117647,0.323529412,,,
PlayingTabla,0.108108108,0,0.432432432,,0.324324324,0.432432432,,,
LongJump,0,0,0.435114504,,0.435114504,0.435114504,,,
ShavingBeard,0.50931677,0.00621118,0.440993789,,-0.068322981,0.434782609,,,
BalanceBeam,0.324074074,0,0.444444444,,0.12037037,0.444444444,,,
PlayingViolin,0.68,0,0.46,,-0.22,0.46,,,
Archery,0.531034483,0.034482759,0.496551724,,-0.034482759,0.462068965,,,
CricketBowling,0.467625899,0,0.539568345,,0.071942446,0.539568345,,,
MilitaryParade,0.496,0.16,0.544,,0.048,0.384,,,
Fencing,0.63963964,0,0.54954955,,-0.09009009,0.54954955,,,
SkyDiving,0,0.690909091,0.590909091,,0.590909091,-0.1,,,
HighJump,0.382113821,0,0.62601626,,0.243902439,0.62601626,,,
TrampolineJumping,0.647058824,0.361344538,0.647058824,,-4.70589E-10,0.285714286,,,
ApplyEyeMakeup,0.696551724,0,0.682758621,,-0.013793103,0.682758621,,,
BoxingPunchingBag,0.705521472,0.460122699,0.736196319,,0.030674847,0.27607362,,,
BlowingCandles,0.47706422,0,0.743119266,,0.266055046,0.743119266,,,
PlayingGuitar,0.45,0,0.75,,0.3,0.75,,,
PommelHorse,0.699186992,0,0.756097561,,0.056910569,0.756097561,,,
HorseRiding,0.792682927,0.091463415,0.756097561,,-0.036585366,0.664634146,,,
TableTennisShot,0.621428571,0,0.757142857,,0.135714286,0.757142857,,,
TennisSwing,0.831325301,0.030120482,0.759036145,,-0.072289156,0.728915663,,,
Drumming,0.732919255,0,0.770186335,,0.03726708,0.770186335,,,
Haircut,0.392307692,0.9,0.8,,0.407692308,-0.1,,,
Swing,0.450381679,0,0.816793893,,0.366412214,0.816793893,,,
PlayingPiano,0.866666667,0.619047619,0.819047619,,-0.047619048,0.2,,,
PlayingCello,0.658536585,0.103658537,0.829268293,,0.170731708,0.725609756,,,
Skiing,0.807407407,0.703703704,0.82962963,,0.022222223,0.125925926,,,
Biking,0.858208955,0.037313433,0.835820896,,-0.022388059,0.798507463,,,
HorseRace,0.758064516,0.951612903,0.85483871,,0.096774194,-0.096774193,,,
PlayingFlute,0.748387097,0,0.864516129,,0.116129032,0.864516129,,,
Typing,0.764705882,0.183823529,0.904411765,,0.139705883,0.720588236,,,
PlayingSitar,0.872611465,0,0.904458599,,0.031847134,0.904458599,,,
SumoWrestling,0.913793103,0.077586207,0.905172414,,-0.008620689,0.827586207,,,
BaseballPitch,0.88,0.933333333,0.906666667,,0.026666667,-0.026666666,,,
Rafting,0.045045045,0.954954955,0.936936937,,0.891891892,-0.018018018,,,
ParallelBars,0.789473684,0,0.938596491,,0.149122807,0.938596491,,,
GolfSwing,0.73381295,0.884892086,0.942446043,,0.208633093,0.057553957,,,
Surfing,0.761904762,0.904761905,0.952380952,,0.19047619,0.047619047,,,
SoccerPenalty,0.350364964,0.934306569,0.97080292,,0.620437956,0.036496351,,,
Rowing,0.927007299,0.284671533,0.98540146,,0.058394161,0.700729927,,,
Bowling,0.987096774,0.993548387,1,,0.012903226,0.006451613,,,
Billiards,0.32,1,1,,0.68,0,,,
IceDancing,0.930379747,1,1,,0.069620253,0,,,