,action_name,top_object_0,top_object_1,top_object_2,top_object_3,top_object_4,top_scene_0,top_scene_1,top_scene_2,top_scene_3,top_scene_4
0,ApplyEyeMakeup,makeup,eyeliner,eyeshadow,mascara,lipstick,beauty salon,drugstore,ice cream parlor,candy store,clothing store
1,ApplyLipstick,lipstick,eyeliner,mascara,eyeshadow,lip-gloss,drugstore,ice cream parlor,beauty salon,clothing store,wet bar
2,Archery,archery,archer,crossbow,longbow,rifle,hunting lodge outdoor,bow window indoor,volleyball court outdoor,athletic field outdoor,martial arts gym
3,BabyCrawling,baby,baby,crib,crib,bassinet,nursery,childs room,shower,playroom,hospital room
4,BalanceBeam,balance,balance,beam,light,steelyard,rope bridge,bank vault,bridge,elevator shaft,bow window indoor
5,BandMarching,band,band,drummer,guitarist,bandsman,music studio,rock arch,orchestra pit,army base,stadium football
6,BaseballPitch,baseball,baseball,softball,softball,bat,stadium baseball,baseball field,stadium soccer,stadium football,soccer field
7,Basketball,basketball,basketball,volleyball,volleyball,soccer,basketball court indoor,volleyball court outdoor,stadium soccer,stadium football,soccer field
8,BasketballDunk,basketball,basketball,dunker,backboard,backboard,basketball court indoor,volleyball court outdoor,arena hockey,athletic field outdoor,soccer field
9,BenchPress,bench,press,press,press,dumbbell,conference center,conference room,ball pit,locker room,volleyball court outdoor
10,Biking,bicycling,cycling,bicycle,motorcycling,skiing,mountain,mountain path,mountain snowy,swimming pool outdoor,ice skating rink outdoor
11,Billiards,shuffleboard,racquetball,racquetball,poolroom,croquet,arcade,amusement arcade,swimming pool indoor,swimming pool outdoor,recreation room
12,BlowDryHair,dry,hair,dryer,wig,skin,wet bar,hot spring,shower,beauty salon,desert sand
13,BlowingCandles,candle,shofar,torch,wick,snuffer,wind farm,fire escape,shower,bow window indoor,fire station
14,BodyWeightSquats,weight,weight,body,body,body,martial arts gym,shed,boxing ring,sauna,train interior
15,Bowling,cricket,cricket,croquet,wicket,wicket,bowling alley,ball pit,ice skating rink indoor,ice skating rink outdoor,swimming hole
16,BoxingPunchingBag,boxing,boxer,boxer,punch,punch,boxing ring,martial arts gym,stadium baseball,arena hockey,swimming hole
17,BoxingSpeedBag,boxing,bag,bag,bag,duffel,boxing ring,martial arts gym,bowling alley,ball pit,shoe shop
18,BreastStroke,nipple,chest,surgery,heart,neck,swimming hole,hospital,nursing home,elevator shaft,canal natural
19,BrushingTeeth,tooth,tooth,brush,toothbrush,floss,clean room,bathroom,watering hole,canal natural,childs room
20,CleanAndJerk,cleaner,well,well,well,mess,clean room,wet bar,engine room,underwater ocean deep,lake natural
21,CliffDiving,cliff,dive,precipice,ledge,snorkeling,cliff,underwater ocean deep,swimming hole,rope bridge,ocean
22,CricketBowling,cricket,cricket,cricketer,wicket,wicket,bowling alley,stadium baseball,football field,baseball field,stadium soccer
23,CricketShot,cricket,cricket,cricketer,wicket,wicket,bowling alley,football field,ball pit,baseball field,soccer field
24,CuttingInKitchen,kitchen,bathroom,room,cupboard,edge,kitchen,restaurant kitchen,living room,dining room,clean room
25,Diving,dive,swimming,snorkeling,snorkel,snorkel,underwater ocean deep,swimming hole,swimming pool outdoor,swimming pool indoor,ocean
26,Drumming,drum,drum,drummer,percussionist,bongo,music studio,martial arts gym,art studio,rock arch,orchestra pit
27,Fencing,fence,epee,singlestick,archery,gazebo,roof garden,topiary garden,gazebo exterior,lawn,athletic field outdoor
28,FieldHockeyPenalty,field,field,soccer,lacrosse,football,soccer field,football field,baseball field,arena hockey,field road
29,FloorGymnastics,gymnastics,floor,floor,floor,gymnast,gymnasium indoor,ballroom,basketball court indoor,volleyball court outdoor,escalator indoor
30,FrisbeeCatch,catch,Frisbee,ball,ball,ball,ball pit,volleyball court outdoor,soccer field,baseball field,fire escape
31,FrontCrawl,front,back,back,back,down,elevator door,porch,doorway outdoor,ball pit,engine room
32,GolfSwing,golf,swing,golfer,putter,croquet,golf course,ball pit,swimming hole,volleyball court outdoor,baseball field
33,Haircut,hairdresser,hair,beard,beard,stylist,beauty salon,shower,clothing store,laundromat,bathroom
34,HammerThrow,hammer,hammer,hammer,monkey-wrench,wrench,ball pit,lock chamber,rope bridge,rock arch,fire escape
35,Hammering,hammer,hammer,hammer,bludgeon,chisel,watering hole,lock chamber,swimming hole,elevator door,ball pit
36,HandstandPushups,dumbbell,cartwheel,barbell,gymnast,hula-hoop,martial arts gym,rope bridge,boxing ring,shower,sushi bar
37,HandstandWalking,walk,cartwheel,walker,walker,walker,escalator indoor,crosswalk,rope bridge,doorway outdoor,swimming hole
38,HeadMassage,head,head,therapist,neck,body,shower,sauna,ice cream parlor,beauty salon,jacuzzi indoor
39,HighJump,jumping,level,jumper,jumper,spike,rope bridge,bow window indoor,escalator indoor,cliff,underwater ocean deep
40,HorseRace,horse,horse,racing,thoroughbred,thoroughbred,racecourse,corral,arena rodeo,barn,railroad track
41,HorseRiding,horse,horse,riding,rider,ride,arena rodeo,barn,pasture,wind farm,corral
42,HulaHoop,hula-hoop,trampoline,gymnastics,tetherball,basketball,basketball court indoor,volleyball court outdoor,ball pit,windmill,rope bridge
43,IceDancing,ice,skating,dancer,dancer,rink,ice skating rink outdoor,ice skating rink indoor,ice floe,ice cream parlor,ice shelf
44,JavelinThrow,javelin,thrower,grenade,monkey-wrench,dart,ball pit,baseball field,athletic field outdoor,bow window indoor,football field
45,JugglingBalls,ball,ball,ball,juggler,croquet,ball pit,soccer field,bowling alley,swimming hole,baseball field
46,JumpRope,rope,jumping,bungee,parachute,ledge,rope bridge,cliff,ball pit,raft,bow window indoor
47,JumpingJack,jumping,jack,jack,jack,jack,rope bridge,swimming hole,ball pit,cliff,landing deck
48,Kayaking,kayak,snorkeling,water-skiing,canoe,fly-fishing,swimming pool outdoor,river,swimming pool indoor,hunting lodge outdoor,swimming hole
49,Knitting,knit,shawl,sweater,workbasket,afghan,coffee shop,jewelry shop,fabric store,gift shop,beer garden
50,LongJump,jumping,down,walk,hurdle,rope,rope bridge,waiting room,underwater ocean deep,cliff,hot spring
51,Lunges,dumbbell,barbell,cartwheel,leg,leg,ball pit,elevator door,rope bridge,martial arts gym,bowling alley
52,MilitaryParade,soldier,reservist,marshal,colonel,regalia,army base,museum outdoor,church outdoor,bazaar outdoor,airfield
53,Mixing,mixer,mixer,recording,mash,blender,music studio,dressing room,chemistry lab,art studio,physics laboratory
54,MoppingFloor,floor,floor,floor,upstairs,linoleum,basement,clean room,throne room,dressing room,kitchen
55,Nunchucks,saber,sword,broadsword,machete,quarterstaff,martial arts gym,bowling alley,boxing ring,arcade,rope bridge
56,ParallelBars,parallel,bar,bar,bar,strip,bar,sushi bar,wet bar,street,rope bridge
57,PizzaTossing,pizza,pasta,lasagna,meatball,flatbread,pizzeria,fastfood restaurant,sushi bar,restaurant kitchen,ice cream parlor
58,PlayingCello,cello,violin,piano,clarinet,oboe,music studio,orchestra pit,soccer field,volleyball court outdoor,ice skating rink outdoor
59,PlayingDaf,piano,violin,clarinet,lute,bongo,soccer field,orchestra pit,football field,music studio,synagogue outdoor
60,PlayingDhol,violin,flute,bagpipe,tambourine,harmonium,music studio,arena hockey,football field,soccer field,orchestra pit
61,PlayingFlute,flute,violin,clarinet,piano,harp,music studio,soccer field,orchestra pit,football field,volleyball court outdoor
62,PlayingGuitar,guitar,violin,piano,harmonica,banjo,music studio,soccer field,football field,stadium soccer,orchestra pit
63,PlayingPiano,piano,violin,clarinet,guitar,cello,music studio,orchestra pit,soccer field,volleyball court outdoor,basketball court indoor
64,PlayingSitar,sitar,guitar,violin,harmonica,harmonium,music studio,football field,soccer field,orchestra pit,stadium soccer
65,PlayingTabla,sitar,violin,flute,guitar,harmonium,music studio,soccer field,football field,orchestra pit,baseball field
66,PlayingViolin,violin,piano,cello,clarinet,flute,music studio,orchestra pit,soccer field,volleyball court outdoor,football field
67,PoleVault,vault,pole,vault,pole,vaulting,bank vault,barn,lock chamber,doorway outdoor,ice shelf
68,PommelHorse,horse,horse,horseman,dressage,equine,barn,arena rodeo,corral,pasture,racecourse
69,PullUps,pull,hook,hook,hook,hook,ball pit,rope bridge,lock chamber,assembly line,clean room
70,Punch,punch,punch,haymaker,pack,pack,boxing ring,watering hole,ice cream parlor,ice shelf,ball pit
71,PushUps,pull,tamp,button,ratchet,down,assembly line,lock chamber,ball pit,wave,elevator door
72,Rafting,canoe,kayak,raft,snorkeling,fly-fishing,river,raft,canyon,hunting lodge outdoor,swimming pool outdoor
73,RockClimbingIndoor,rock,rock,climber,crag,mountain,rock arch,mountain,cliff,crevasse,canyon
74,RopeClimbing,rope,climber,ledge,bungee,jumping,rope bridge,crevasse,cliff,rock arch,staircase
75,Rowing,rowing,boathouse,scull,swimming,canoe,boathouse,swimming pool indoor,boat deck,swimming pool outdoor,swimming hole
76,SalsaSpin,salsa,guacamole,tostada,enchilada,hummus,ball pit,bowling alley,ballroom,ice cream parlor,sushi bar
77,ShavingBeard,beard,beard,hair,razor,shaver,ice cream parlor,shower,beauty salon,wet bar,ice skating rink outdoor
78,Shotput,javelin,thrower,judo,athlete,vaulter,athletic field outdoor,baseball field,basketball court indoor,football field,soccer field
79,SkateBoarding,skate,skate,skating,skateboard,skateboarding,ice skating rink outdoor,ice skating rink indoor,ski resort,art school,ski slope
80,Skiing,skiing,skier,snowboard,sledding,tobogganing,ski resort,ski slope,ice skating rink outdoor,mountain snowy,chalet
81,Skijet,jet,skiing,snowboard,skier,snowmobile,ski resort,ski slope,airplane cabin,chalet,hunting lodge outdoor
82,SkyDiving,dive,swimming,dove,blue,blue,sky,underwater ocean deep,swimming hole,ocean,water tower
83,SoccerJuggling,soccer,football,juggler,volleyball,volleyball,stadium soccer,soccer field,football field,stadium football,basketball court indoor
84,SoccerPenalty,soccer,handball,handball,football,lacrosse,stadium soccer,soccer field,stadium football,football field,arena hockey
85,StillRings,still,ring,ring,remains,bell,boxing ring,jewelry shop,rope bridge,waiting room,phone booth
86,SumoWrestling,sumo,wrestling,boxing,judo,boxer,boxing ring,arena hockey,martial arts gym,arena rodeo,volleyball court outdoor
87,Surfing,surfing,skateboarding,snorkeling,beach,web,beach,ocean,swimming pool outdoor,wave,swimming pool indoor
88,Swing,swing,pendulum,ball,ball,ball,ball pit,rope bridge,porch,bowling alley,golf course
89,TableTennisShot,tennis,table,table,volleyball,volleyball,volleyball court outdoor,basketball court indoor,bow window indoor,ball pit,swimming pool outdoor
90,TaiChi,guan,gong,nan,tam,koto,zen garden,martial arts gym,japanese garden,pagoda,temple asia
91,TennisSwing,tennis,swing,badminton,golf,croquet,volleyball court outdoor,basketball court indoor,ball pit,swimming pool outdoor,golf course
92,ThrowDiscus,javelin,thrower,monkey-wrench,hammer,hammer,ball pit,athletic field outdoor,baseball field,bow window indoor,wheat field
93,TrampolineJumping,trampoline,jumping,bungee,gymnastics,swimming,swimming pool indoor,swimming pool outdoor,swimming hole,playground,escalator indoor
94,Typing,keyboard,typewriter,computer,laptop,mouse,computer room,waiting room,loading dock,office cubicles,server room
95,UnevenBars,bar,bar,bar,rough,brittle,wet bar,bar,sushi bar,ice skating rink indoor,ice skating rink outdoor
96,VolleyballSpiking,volleyball,volleyball,soccer,tennis,softball,volleyball court outdoor,soccer field,basketball court indoor,stadium soccer,football field
97,WalkingWithDog,dog,walk,leash,puppy,pup,kennel outdoor,pet shop,beach house,shopping mall indoor,street
98,WallPushups,wall,wall,sandbag,dumbbell,ledge,rock arch,rope bridge,alcove,doorway outdoor,martial arts gym
99,WritingOnBoard,board,board,board,drawing,blackboard,art school,computer room,landing deck,boat deck,television room
100,YoYo,gat,homegirl,dun,homeboy,takin,childs room,japanese garden,rice paddy,sushi bar,kindergarden classroom
